System_ID,System_Name
601,Appling County
602,Atkinson County
603,Bacon County
604,Baker County
605,Baldwin County
606,Banks County
607,Barrow County
608,Bartow County
609,Ben Hill County
610,Berrien County
611,Bibb County
612,Bleckley County
613,Brantley County
614,Brooks County
615,Bryan County
616,Bulloch County
617,Burke County
618,Butts County
619,Calhoun County
620,Camden County
621,Candler County
622,Carroll County
623,Catoosa County
624,Charlton County
625,Savannah-Chatham County
626,Chattahoochee County
627,Chattooga County
628,Cherokee County
629,Clarke County
630,Clay County
631,Clayton County
632,Clinch County
633,Cobb County
634,Coffee County
635,Colquitt County
636,Columbia County
637,Cook County
638,Coweta County
639,Crawford County
640,Crisp County
641,Dade County
642,Dawson County
643,Decatur County
644,DeKalb County
645,Dodge County
646,Dooly County
647,Dougherty County
648,Douglas County
649,Early County
650,Echols County
651,Effingham County
652,Elbert County
653,Emanuel County
654,Evans County
655,Fannin County
656,Fayette County
657,Floyd County
658,Forsyth County
659,Franklin County
660,Fulton County
661,Gilmer County
662,Glascock County
663,Glynn County
664,Gordon County
665,Grady County
666,Greene County
667,Gwinnett County
668,Habersham County
669,Hall County
670,Hancock County
671,Haralson County
672,Harris County
673,Hart County
674,Heard County
675,Henry County
676,Houston County
677,Irwin County
678,Jackson County
679,Jasper County
680,Jeff Davis County
681,Jefferson County
682,Jenkins County
683,Johnson County
684,Jones County
685,Lamar County
686,Lanier County
687,Laurens County
688,Lee County
689,Liberty County
690,Lincoln County
691,Long County
692,Lowndes County
693,Lumpkin County
694,Macon County
695,Madison County
696,Marion County
697,McDuffie County
698,McIntosh County
699,Meriwether County
700,Miller County
701,Mitchell County
702,Monroe County
703,Montgomery County
704,Morgan County
705,Murray County
706,Muscogee County
707,Newton County
708,Oconee County
709,Oglethorpe County
710,Paulding County
711,Peach County
712,Pickens County
713,Pierce County
714,Pike County
715,Polk County
716,Pulaski County
717,Putnam County
718,Quitman County
719,Rabun County
720,Randolph County
721,Richmond County
722,Rockdale County
723,Schley County
724,Screven County
725,Seminole County
726,Griffin-Spalding County
727,Stephens County
728,Stewart County
729,Sumter County
730,Talbot County
731,Taliaferro County
732,Tattnall County
733,Taylor County
734,Telfair County
735,Terrell County
736,Thomas County
737,Tift County
738,Toombs County
739,Towns County
740,Treutlen County
741,Troup County
742,Turner County
743,Twiggs County
744,Union County
745,Thomaston-Upson County
746,Walker County
747,Walton County
748,Ware County
749,Warren County
750,Washington County
751,Wayne County
752,Webster County
753,Wheeler County
754,White County
755,Whitfield County
756,Wilcox County
757,Wilkes County
758,Wilkinson County
759,Worth County
761,Atlanta Public Schools
763,Bremen City
764,Buford City
765,Calhoun City
766,Carrollton City
767,Cartersville City
769,Chickamauga City
771,Commerce City
772,Dalton Public Schools
773,City Schools of Decatur
774,Dublin City
776,Gainesville City
779,Jefferson City
781,Marietta City
7820108,State Charter Schools- Mountain Education Charter High School
7820110,State Charter Schools- Odyssey Charter School
7820120,State Charter Schools- Georgia Cyber Academy
7820121,State Charter Schools- Utopian Academy for the Arts Charter School
7820212,State Charter Schools- Cherokee Charter Academy
7820412,State Charter Schools- Georgia Connections Academy
7820612,State Charter Schools- Ivy Preparatory Academy Inc
7820613,State Charter Schools- Foothills Charter High School (Central Office - Athens)
7820614,State Charter Schools- International Charter School of Atlanta
7820615,State Charter Schools- Scintilla Charter Academy
7820616,State Charter Schools- Georgia School for Innovation and the Classics
7820617,State Charter Schools- Dubois Integrity Academy
7820618,State Charter Schools- Coastal Plains Charter High School - Candler Campus
7830103,State Charter Schools II- Statesboro STEAM Academy
7830210,State Charter Schools II- Pataula Charter Academy
7830310,State Charter Schools II- Fulton Leadership Academy
7830410,State Charter Schools II- Atlanta Heights Charter School
7830610,State Charter Schools II- Coweta Charter Academy
7830611,State Charter Schools II- Cirrus Charter Academy
7830612,State Charter Schools II- Southwest Georgia S.T.E.M. Charter Academy
7830613,State Charter Schools II- Brookhaven Innovation Academy
7830614,State Charter Schools II- Liberty Tech Charter Academy
7830615,State Charter Schools II- Genesis Innovation Academy for Boys
7830616,State Charter Schools II- Genesis Innovation Academy for Girls
7830617,State Charter Schools II- Resurgence Hall Charter School
7830618,State Charter Schools II- SAIL Charter Academy - School for Arts-Infused Learning
7830619,State Charter Schools II- International Academy of Smyrna
7830620,State Charter Schools II- International Charter Academy of Georgia
7830621,State Charter Schools II- SLAM Academy of Atlanta
784,Pelham City
785,Rome City
786,Social Circle City
789,Thomasville City
791,Trion City
792,Valdosta City
793,Vidalia City
799,State Schools
